Standard Name,Standard Description,Standard URL,Domain,Grade,Strand,Parent Standard
CCSS.Math.Content.3.MD.C.5, Recognize area as an attribute of plane figures and understand concepts of area measurement.,http://www.corestandards.org/Math/Content/3/MD/C/5,Measurement & Data,Grade 3,Geometric measurement: understand concepts of area and relate area to multiplication and to addition.,
CCSS.Math.Content.3.MD.C.5a," A square with side length 1 unit, called “a unit square,” is said to have “one square unit” of area, and can be used to measure area.",http://www.corestandards.org/Math/Content/3/MD/C/5/a,Measurement & Data,Grade 3,Geometric measurement: understand concepts of area and relate area to multiplication and to addition.,CCSS.Math.Content.3.MD.C.5
CCSS.Math.Content.3.MD.C.5b, A plane figure which can be covered without gaps or overlaps by ,http://www.corestandards.org/Math/Content/3/MD/C/5/b,Measurement & Data,Grade 3,Geometric measurement: understand concepts of area and relate area to multiplication and to addition.,CCSS.Math.Content.3.MD.C.5
CCSS.Math.Content.3.MD.C.6," Measure areas by counting unit squares (square cm, square m, square in, square ft, and improvised units).",http://www.corestandards.org/Math/Content/3/MD/C/6,Measurement & Data,Grade 3,Geometric measurement: understand concepts of area and relate area to multiplication and to addition.,
CCSS.Math.Content.3.MD.C.7, Relate area to the operations of multiplication and addition.,http://www.corestandards.org/Math/Content/3/MD/C/7,Measurement & Data,Grade 3,Geometric measurement: understand concepts of area and relate area to multiplication and to addition.,
CCSS.Math.Content.3.MD.C.7a," Find the area of a rectangle with whole-number side lengths by tiling it, and show that the area is the same as would be found by multiplying the side lengths.",http://www.corestandards.org/Math/Content/3/MD/C/7/a,Measurement & Data,Grade 3,Geometric measurement: understand concepts of area and relate area to multiplication and to addition.,CCSS.Math.Content.3.MD.C.7
CCSS.Math.Content.3.MD.C.7b," Multiply side lengths to find areas of rectangles with whole-number side lengths in the context of solving real world and mathematical problems, and represent whole-number products as rectangular areas in mathematical reasoning.",http://www.corestandards.org/Math/Content/3/MD/C/7/b,Measurement & Data,Grade 3,Geometric measurement: understand concepts of area and relate area to multiplication and to addition.,CCSS.Math.Content.3.MD.C.7
CCSS.Math.Content.3.MD.C.7c, Use tiling to show in a concrete case that the area of a rectangle with whole-number side lengths ,http://www.corestandards.org/Math/Content/3/MD/C/7/c,Measurement & Data,Grade 3,Geometric measurement: understand concepts of area and relate area to multiplication and to addition.,CCSS.Math.Content.3.MD.C.7
CCSS.Math.Content.3.MD.C.7d," Recognize area as additive. Find areas of rectilinear figures by decomposing them into non-overlapping rectangles and adding the areas of the non-overlapping parts, applying this technique to solve real world problems.",http://www.corestandards.org/Math/Content/3/MD/C/7/d,Measurement & Data,Grade 3,Geometric measurement: understand concepts of area and relate area to multiplication and to addition.,CCSS.Math.Content.3.MD.C.7
CCSS.Math.Content.3.MD.D.8," Solve real world and mathematical problems involving perimeters of polygons, including finding the perimeter given the side lengths, finding an unknown side length, and exhibiting rectangles with the same perimeter and different areas or with the same area and different perimeters.",http://www.corestandards.org/Math/Content/3/MD/D/8,Measurement & Data,Grade 3,Geometric measurement: recognize perimeter.,
CCSS.Math.Content.3.G.A.1,"  Understand that shapes in different categories (e.g., rhombuses, rectangles, and others) may share attributes (e.g., having four sides), and that the shared attributes can define a larger category (e.g., quadrilaterals). Recognize rhombuses, rectangles, and squares as examples of quadrilaterals, and draw examples of quadrilaterals that do not belong to any of these subcategories.",http://www.corestandards.org/Math/Content/3/G/A/1,Geometry,Grade 3,Reason with shapes and their attributes.,
CCSS.Math.Content.3.G.A.2, Partition shapes into parts with equal areas. Express the area of each part as a unit fraction of the whole. ,http://www.corestandards.org/Math/Content/3/G/A/2,Geometry,Grade 3,Reason with shapes and their attributes.,
CCSS.Math.Content.4.OA.A.1," Interpret a multiplication equation as a comparison, e.g., interpret 35 = 5 × 7 as a statement that 35 is 5 times as many as 7 and 7 times as many as 5. Represent verbal statements of multiplicative comparisons as multiplication equations.",http://www.corestandards.org/Math/Content/4/OA/A/1,Operations & Algebraic Thinking,Grade 4,Use the four operations with whole numbers to solve problems.,
CCSS.Math.Content.4.OA.A.2," Multiply or divide to solve word problems involving multiplicative comparison, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem, distinguishing multiplicative comparison from additive comparison.",http://www.corestandards.org/Math/Content/4/OA/A/2,Operations & Algebraic Thinking,Grade 4,Use the four operations with whole numbers to solve problems.,
CCSS.Math.Content.4.OA.A.3," Solve multistep word problems posed with whole numbers and having whole-number answers using the four operations, including problems in which remainders must be interpreted. Represent these problems using equations with a letter standing for the unknown quantity. Assess the reasonableness of answers using mental computation and estimation strategies including rounding.",http://www.corestandards.org/Math/Content/4/OA/A/3,Operations & Algebraic Thinking,Grade 4,Use the four operations with whole numbers to solve problems.,
CCSS.Math.Content.4.OA.B.4, Find all factor pairs for a whole number in the range 1–100. Recognize that a whole number is a multiple of each of its factors. Determine whether a given whole number in the range 1–100 is a multiple of a given one-digit number. Determine whether a given whole number in the range 1–100 is prime or composite.,http://www.corestandards.org/Math/Content/4/OA/B/4,Operations & Algebraic Thinking,Grade 4,Gain familiarity with factors and multiples.,
CCSS.Math.Content.4.OA.C.5, Generate a number or shape pattern that follows a given rule. Identify apparent features of the pattern that were not explicit in the rule itself. ,http://www.corestandards.org/Math/Content/4/OA/C/5,Operations & Algebraic Thinking,Grade 4,Generate and analyze patterns.,
CCSS.Math.Content.4.NBT.A.1," Recognize that in a multi-digit whole number, a digit in one place represents ten times what it represents in the place to its right.",http://www.corestandards.org/Math/Content/4/NBT/A/1,Number & Operations in Base Ten,Grade 4,Generalize place value understanding for multi-digit whole numbers.,
CCSS.Math.Content.4.NBT.A.2," Read and write multi-digit whole numbers using base-ten numerals, number names, and expanded form. Compare two multi-digit numbers based on meanings of the digits in each place, using >, =, and < symbols to record the results of comparisons.",http://www.corestandards.org/Math/Content/4/NBT/A/2,Number & Operations in Base Ten,Grade 4,Generalize place value understanding for multi-digit whole numbers.,
CCSS.Math.Content.4.NBT.A.3, Use place value understanding to round multi-digit whole numbers to any place.,http://www.corestandards.org/Math/Content/4/NBT/A/3,Number & Operations in Base Ten,Grade 4,Generalize place value understanding for multi-digit whole numbers.,
CCSS.Math.Content.4.NBT.B.4, Fluently add and subtract multi-digit whole numbers using the standard algorithm.,http://www.corestandards.org/Math/Content/4/NBT/B/4,Number & Operations in Base Ten,Grade 4,Use place value understanding and properties of operations to perform multi-digit arithmetic.,
CCSS.Math.Content.4.NBT.B.5," Multiply a whole number of up to four digits by a one-digit whole number, and multiply two two-digit numbers, using strategies based on place value and the properties of operations. Illustrate and explain the calculation by using equations, rectangular arrays, and/or area models.",http://www.corestandards.org/Math/Content/4/NBT/B/5,Number & Operations in Base Ten,Grade 4,Use place value understanding and properties of operations to perform multi-digit arithmetic.,
CCSS.Math.Content.4.NBT.B.6," Find whole-number quotients and remainders with up to four-digit dividends and one-digit divisors, using strategies based on place value, the properties of operations, and/or the relationship between multiplication and division. Illustrate and explain the calculation by using equations, rectangular arrays, and/or area models.",http://www.corestandards.org/Math/Content/4/NBT/B/6,Number & Operations in Base Ten,Grade 4,Use place value understanding and properties of operations to perform multi-digit arithmetic.,
CCSS.Math.Content.4.NF.A.1, Explain why a fraction ,http://www.corestandards.org/Math/Content/4/NF/A/1,Number & Operations - Fractions,Grade 4,Extend understanding of fraction equivalence and ordering.,
CCSS.Math.Content.4.NF.A.2," Compare two fractions with different numerators and different denominators, e.g., by creating common denominators or numerators, or by comparing to a benchmark fraction such as 1/2. Recognize that comparisons are valid only when the two fractions refer to the same whole. Record the results of comparisons with symbols >, =, or <, and justify the conclusions, e.g., by using a visual fraction model.",http://www.corestandards.org/Math/Content/4/NF/A/2,Number & Operations - Fractions,Grade 4,Extend understanding of fraction equivalence and ordering.,
CCSS.Math.Content.4.NF.B.3, Understand a fraction ,http://www.corestandards.org/Math/Content/4/NF/B/3,Number & Operations - Fractions,Grade 4,Build fractions from unit fractions,
CCSS.Math.Content.4.NF.B.3a, Understand addition and subtraction of fractions as joining and separating parts referring to the same whole.,http://www.corestandards.org/Math/Content/4/NF/B/3/a,Number & Operations - Fractions,Grade 4,Build fractions from unit fractions,CCSS.Math.Content.4.NF.B.3
CCSS.Math.Content.4.NF.B.3b," Decompose a fraction into a sum of fractions with the same denominator in more than one way, recording each decomposition by an equation. Justify decompositions, e.g., by using a visual fraction model. ",http://www.corestandards.org/Math/Content/4/NF/B/3/b,Number & Operations - Fractions,Grade 4,Build fractions from unit fractions,CCSS.Math.Content.4.NF.B.3
CCSS.Math.Content.4.NF.B.3c," Add and subtract mixed numbers with like denominators, e.g., by replacing each mixed number with an equivalent fraction, and/or by using properties of operations and the relationship between addition and subtraction.",http://www.corestandards.org/Math/Content/4/NF/B/3/c,Number & Operations - Fractions,Grade 4,Build fractions from unit fractions,CCSS.Math.Content.4.NF.B.3
CCSS.Math.Content.4.NF.B.3d," Solve word problems involving addition and subtraction of fractions referring to the same whole and having like denominators, e.g., by using visual fraction models and equations to represent the problem.",http://www.corestandards.org/Math/Content/4/NF/B/3/d,Number & Operations - Fractions,Grade 4,Build fractions from unit fractions,CCSS.Math.Content.4.NF.B.3
CCSS.Math.Content.4.NF.B.4, Apply and extend previous understandings of multiplication to multiply a fraction by a whole number.,http://www.corestandards.org/Math/Content/4/NF/B/4,Number & Operations - Fractions,Grade 4,Build fractions from unit fractions,
CCSS.Math.Content.4.NF.B.4a, Understand a fraction ,http://www.corestandards.org/Math/Content/4/NF/B/4/a,Number & Operations - Fractions,Grade 4,Build fractions from unit fractions,CCSS.Math.Content.4.NF.B.4
CCSS.Math.Content.4.NF.B.4b," Understand a multiple of a/b as a multiple of 1/b, and use this understanding to multiply a fraction by a whole number. ",http://www.corestandards.org/Math/Content/4/NF/B/4/b,Number & Operations - Fractions,Grade 4,Build fractions from unit fractions,CCSS.Math.Content.4.NF.B.4
CCSS.Math.Content.4.NF.B.4c," Solve word problems involving multiplication of a fraction by a whole number, e.g., by using visual fraction models and equations to represent the problem. ",http://www.corestandards.org/Math/Content/4/NF/B/4/c,Number & Operations - Fractions,Grade 4,Build fractions from unit fractions,CCSS.Math.Content.4.NF.B.4
CCSS.Math.Content.4.NF.C.5," Express a fraction with denominator 10 as an equivalent fraction with denominator 100, and use this technique to add two fractions with respective denominators 10 and 100.",http://www.corestandards.org/Math/Content/4/NF/C/5,Number & Operations - Fractions,Grade 4,"Understand decimal notation for fractions, and compare decimal fractions.",
CCSS.Math.Content.4.NF.C.6, Use decimal notation for fractions with denominators 10 or 100. ,http://www.corestandards.org/Math/Content/4/NF/C/6,Number & Operations - Fractions,Grade 4,"Understand decimal notation for fractions, and compare decimal fractions.",
CCSS.Math.Content.4.NF.C.7," Compare two decimals to hundredths by reasoning about their size. Recognize that comparisons are valid only when the two decimals refer to the same whole. Record the results of comparisons with the symbols >, =, or <, and justify the conclusions, e.g., by using a visual model.",http://www.corestandards.org/Math/Content/4/NF/C/7,Number & Operations - Fractions,Grade 4,"Understand decimal notation for fractions, and compare decimal fractions.",
CCSS.Math.Content.4.MD.A.1," Know relative sizes of measurement units within one system of units including km, m, cm; kg, g; lb, oz.; l, ml; hr, min, sec. Within a single system of measurement, express measurements in a larger unit in terms of a smaller unit. Record measurement equivalents in a two-column table. ",http://www.corestandards.org/Math/Content/4/MD/A/1,Measurement & Data,Grade 4,Solve problems involving measurement and conversion of measurements.,
CCSS.Math.Content.4.MD.A.2," Use the four operations to solve word problems involving distances, intervals of time, liquid volumes, masses of objects, and money, including problems involving simple fractions or decimals, and problems that require expressing measurements given in a larger unit in terms of a smaller unit. Represent measurement quantities using diagrams such as number line diagrams that feature a measurement scale.",http://www.corestandards.org/Math/Content/4/MD/A/2,Measurement & Data,Grade 4,Solve problems involving measurement and conversion of measurements.,
CCSS.Math.Content.4.MD.A.3, Apply the area and perimeter formulas for rectangles in real world and mathematical problems. ,http://www.corestandards.org/Math/Content/4/MD/A/3,Measurement & Data,Grade 4,Solve problems involving measurement and conversion of measurements.,
CCSS.Math.Content.4.MD.B.4," Make a line plot to display a data set of measurements in fractions of a unit (1/2, 1/4, 1/8). Solve problems involving addition and subtraction of fractions by using information presented in line plots. ",http://www.corestandards.org/Math/Content/4/MD/B/4,Measurement & Data,Grade 4,Represent and interpret data.,
CCSS.Math.Content.4.MD.C.5," Recognize angles as geometric shapes that are formed wherever two rays share a common endpoint, and understand concepts of angle measurement:",http://www.corestandards.org/Math/Content/4/MD/C/5,Measurement & Data,Grade 4,Geometric measurement: understand concepts of angle and measure angles.,
CCSS.Math.Content.4.MD.C.5a," An angle is measured with reference to a circle with its center at the common endpoint of the rays, by considering the fraction of the circular arc between the points where the two rays intersect the circle. An angle that turns through 1/360 of a circle is called a “one-degree angle,” and can be used to measure angles.",http://www.corestandards.org/Math/Content/4/MD/C/5/a,Measurement & Data,Grade 4,Geometric measurement: understand concepts of angle and measure angles.,CCSS.Math.Content.4.MD.C.5
CCSS.Math.Content.4.MD.C.5b, An angle that turns through ,http://www.corestandards.org/Math/Content/4/MD/C/5/b,Measurement & Data,Grade 4,Geometric measurement: understand concepts of angle and measure angles.,CCSS.Math.Content.4.MD.C.5
CCSS.Math.Content.4.MD.C.6, Measure angles in whole-number degrees using a protractor. Sketch angles of specified measure.,http://www.corestandards.org/Math/Content/4/MD/C/6,Measurement & Data,Grade 4,Geometric measurement: understand concepts of angle and measure angles.,
CCSS.Math.Content.4.MD.C.7," Recognize angle measure as additive. When an angle is decomposed into non-overlapping parts, the angle measure of the whole is the sum of the angle measures of the parts. Solve addition and subtraction problems to find unknown angles on a diagram in real world and mathematical problems, e.g., by using an equation with a symbol for the unknown angle measure.",http://www.corestandards.org/Math/Content/4/MD/C/7,Measurement & Data,Grade 4,Geometric measurement: understand concepts of angle and measure angles.,
CCSS.Math.Content.4.G.A.1," Draw points, lines, line segments, rays, angles (right, acute, obtuse), and perpendicular and parallel lines. Identify these in two-dimensional figures.",http://www.corestandards.org/Math/Content/4/G/A/1,Geometry,Grade 4,"Draw and identify lines and angles, and classify shapes by properties of their lines and angles.",
CCSS.Math.Content.4.G.A.2," Classify two-dimensional figures based on the presence or absence of parallel or perpendicular lines, or the presence or absence of angles of a specified size. Recognize right triangles as a category, and identify right triangles.",http://www.corestandards.org/Math/Content/4/G/A/2,Geometry,Grade 4,"Draw and identify lines and angles, and classify shapes by properties of their lines and angles.",
CCSS.Math.Content.4.G.A.3, Recognize a line of symmetry for a two-dimensional figure as a line across the figure such that the figure can be folded along the line into matching parts. Identify line-symmetric figures and draw lines of symmetry.,http://www.corestandards.org/Math/Content/4/G/A/3,Geometry,Grade 4,"Draw and identify lines and angles, and classify shapes by properties of their lines and angles.",
CCSS.Math.Content.5.OA.A.1," Use parentheses, brackets, or braces in numerical expressions, and evaluate expressions with these symbols.",http://www.corestandards.org/Math/Content/5/OA/A/1,Operations & Algebraic Thinking,Grade 5,Write and interpret numerical expressions.,
CCSS.Math.Content.5.OA.A.2," Write simple expressions that record calculations with numbers, and interpret numerical expressions without evaluating them. ",http://www.corestandards.org/Math/Content/5/OA/A/2,Operations & Algebraic Thinking,Grade 5,Write and interpret numerical expressions.,
CCSS.Math.Content.5.OA.B.3," Generate two numerical patterns using two given rules. Identify apparent relationships between corresponding terms. Form ordered pairs consisting of corresponding terms from the two patterns, and graph the ordered pairs on a coordinate plane. ",http://www.corestandards.org/Math/Content/5/OA/B/3,Operations & Algebraic Thinking,Grade 5,Analyze patterns and relationships.,
CCSS.Math.Content.5.NBT.A.1," Recognize that in a multi-digit number, a digit in one place represents 10 times as much as it represents in the place to its right and 1/10 of what it represents in the place to its left.",http://www.corestandards.org/Math/Content/5/NBT/A/1,Number & Operations in Base Ten,Grade 5,Understand the place value system.,
CCSS.Math.Content.5.NBT.A.2," Explain patterns in the number of zeros of the product when multiplying a number by powers of 10, and explain patterns in the placement of the decimal point when a decimal is multiplied or divided by a power of 10. Use whole-number exponents to denote powers of 10.",http://www.corestandards.org/Math/Content/5/NBT/A/2,Number & Operations in Base Ten,Grade 5,Understand the place value system.,
CCSS.Math.Content.5.NBT.A.3," Read, write, and compare decimals to thousandths.",http://www.corestandards.org/Math/Content/5/NBT/A/3,Number & Operations in Base Ten,Grade 5,Understand the place value system.,
CCSS.Math.Content.5.NBT.A.3a," Read and write decimals to thousandths using base-ten numerals, number names, and expanded form, e.g., 347.392 = 3 × 100 + 4 × 10 + 7 × 1 + 3 × (1/10) + 9 × (1/100) + 2 × (1/1000).",http://www.corestandards.org/Math/Content/5/NBT/A/3/a,Number & Operations in Base Ten,Grade 5,Understand the place value system.,CCSS.Math.Content.5.NBT.A.3
CCSS.Math.Content.5.NBT.A.3b," Compare two decimals to thousandths based on meanings of the digits in each place, using >, =, and < symbols to record the results of comparisons.",http://www.corestandards.org/Math/Content/5/NBT/A/3/b,Number & Operations in Base Ten,Grade 5,Understand the place value system.,CCSS.Math.Content.5.NBT.A.3
CCSS.Math.Content.5.NBT.A.4, Use place value understanding to round decimals to any place.,http://www.corestandards.org/Math/Content/5/NBT/A/4,Number & Operations in Base Ten,Grade 5,Understand the place value system.,
CCSS.Math.Content.5.NBT.B.5, Fluently multiply multi-digit whole numbers using the standard algorithm.,http://www.corestandards.org/Math/Content/5/NBT/B/5,Number & Operations in Base Ten,Grade 5,Perform operations with multi-digit whole numbers and with decimals to hundredths.,
CCSS.Math.Content.5.NBT.B.6," Find whole-number quotients of whole numbers with up to four-digit dividends and two-digit divisors, using strategies based on place value, the properties of operations, and/or the relationship between multiplication and division. Illustrate and explain the calculation by using equations, rectangular arrays, and/or area models.",http://www.corestandards.org/Math/Content/5/NBT/B/6,Number & Operations in Base Ten,Grade 5,Perform operations with multi-digit whole numbers and with decimals to hundredths.,
CCSS.Math.Content.5.NBT.B.7," Add, subtract, multiply, and divide decimals to hundredths, using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method and explain the reasoning used.",http://www.corestandards.org/Math/Content/5/NBT/B/7,Number & Operations in Base Ten,Grade 5,Perform operations with multi-digit whole numbers and with decimals to hundredths.,
CCSS.Math.Content.5.NF.A.1, Add and subtract fractions with unlike denominators (including mixed numbers) by replacing given fractions with equivalent fractions in such a way as to produce an equivalent sum or difference of fractions with like denominators. ,http://www.corestandards.org/Math/Content/5/NF/A/1,Number & Operations - Fractions,Grade 5,Use equivalent fractions as a strategy to add and subtract fractions.,
CCSS.Math.Content.5.NF.A.2," Solve word problems involving addition and subtraction of fractions referring to the same whole, including cases of unlike denominators, e.g., by using visual fraction models or equations to represent the problem. Use benchmark fractions and number sense of fractions to estimate mentally and assess the reasonableness of answers. ",http://www.corestandards.org/Math/Content/5/NF/A/2,Number & Operations - Fractions,Grade 5,Use equivalent fractions as a strategy to add and subtract fractions.,
CCSS.Math.Content.5.NF.B.3, Interpret a fraction as division of the numerator by the denominator (,http://www.corestandards.org/Math/Content/5/NF/B/3,Number & Operations - Fractions,Grade 5,Apply and extend previous understandings of multiplication and division.,
CCSS.Math.Content.5.NF.B.4, Apply and extend previous understandings of multiplication to multiply a fraction or whole number by a fraction.,http://www.corestandards.org/Math/Content/5/NF/B/4,Number & Operations - Fractions,Grade 5,Apply and extend previous understandings of multiplication and division.,
CCSS.Math.Content.5.NF.B.4a, Interpret the product (,http://www.corestandards.org/Math/Content/5/NF/B/4/a,Number & Operations - Fractions,Grade 5,Apply and extend previous understandings of multiplication and division.,CCSS.Math.Content.5.NF.B.4
CCSS.Math.Content.5.NF.B.4b," Find the area of a rectangle with fractional side lengths by tiling it with unit squares of the appropriate unit fraction side lengths, and show that the area is the same as would be found by multiplying the side lengths. Multiply fractional side lengths to find areas of rectangles, and represent fraction products as rectangular areas.",http://www.corestandards.org/Math/Content/5/NF/B/4/b,Number & Operations - Fractions,Grade 5,Apply and extend previous understandings of multiplication and division.,CCSS.Math.Content.5.NF.B.4
CCSS.Math.Content.5.NF.B.5," Interpret multiplication as scaling (resizing), by:",http://www.corestandards.org/Math/Content/5/NF/B/5,Number & Operations - Fractions,Grade 5,Apply and extend previous understandings of multiplication and division.,
CCSS.Math.Content.5.NF.B.5a," Comparing the size of a product to the size of one factor on the basis of the size of the other factor, without performing the indicated multiplication.",http://www.corestandards.org/Math/Content/5/NF/B/5/a,Number & Operations - Fractions,Grade 5,Apply and extend previous understandings of multiplication and division.,CCSS.Math.Content.5.NF.B.5
CCSS.Math.Content.5.NF.B.5b, Explaining why multiplying a given number by a fraction greater than 1 results in a product greater than the given number (recognizing multiplication by whole numbers greater than 1 as a familiar case); explaining why multiplying a given number by a fraction less than 1 results in a product smaller than the given number; and relating the principle of fraction equivalence ,http://www.corestandards.org/Math/Content/5/NF/B/5/b,Number & Operations - Fractions,Grade 5,Apply and extend previous understandings of multiplication and division.,CCSS.Math.Content.5.NF.B.5
CCSS.Math.Content.5.NF.B.6," Solve real world problems involving multiplication of fractions and mixed numbers, e.g., by using visual fraction models or equations to represent the problem.",http://www.corestandards.org/Math/Content/5/NF/B/6,Number & Operations - Fractions,Grade 5,Apply and extend previous understandings of multiplication and division.,
CCSS.Math.Content.5.NF.B.7, Apply and extend previous understandings of division to divide unit fractions by whole numbers and whole numbers by unit fractions.,http://www.corestandards.org/Math/Content/5/NF/B/7,Number & Operations - Fractions,Grade 5,Apply and extend previous understandings of multiplication and division.,
CCSS.Math.Content.5.NF.B.7a," Interpret division of a unit fraction by a non-zero whole number, and compute such quotients. ",http://www.corestandards.org/Math/Content/5/NF/B/7/a,Number & Operations - Fractions,Grade 5,Apply and extend previous understandings of multiplication and division.,CCSS.Math.Content.5.NF.B.7
CCSS.Math.Content.5.NF.B.7b," Interpret division of a whole number by a unit fraction, and compute such quotients. ",http://www.corestandards.org/Math/Content/5/NF/B/7/b,Number & Operations - Fractions,Grade 5,Apply and extend previous understandings of multiplication and division.,CCSS.Math.Content.5.NF.B.7
CCSS.Math.Content.5.NF.B.7c," Solve real world problems involving division of unit fractions by non-zero whole numbers and division of whole numbers by unit fractions, e.g., by using visual fraction models and equations to represent the problem. ",http://www.corestandards.org/Math/Content/5/NF/B/7/c,Number & Operations - Fractions,Grade 5,Apply and extend previous understandings of multiplication and division.,CCSS.Math.Content.5.NF.B.7
CCSS.Math.Content.5.MD.A.1," Convert among different-sized standard measurement units within a given measurement system (e.g., convert 5 cm to 0.05 m), and use these conversions in solving multi-step, real world problems.",http://www.corestandards.org/Math/Content/5/MD/A/1,Measurement & Data,Grade 5,Convert like measurement units within a given measurement system.,
CCSS.Math.Content.5.MD.B.2," Make a line plot to display a data set of measurements in fractions of a unit (1/2, 1/4, 1/8). Use operations on fractions for this grade to solve problems involving information presented in line plots. ",http://www.corestandards.org/Math/Content/5/MD/B/2,Measurement & Data,Grade 5,Represent and interpret data.,
CCSS.Math.Content.5.MD.C.3, Recognize volume as an attribute of solid figures and understand concepts of volume measurement.,http://www.corestandards.org/Math/Content/5/MD/C/3,Measurement & Data,Grade 5,Geometric measurement: understand concepts of volume.,
CCSS.Math.Content.5.MD.C.3a," A cube with side length 1 unit, called a “unit cube,” is said to have “one cubic unit” of volume, and can be used to measure volume.",http://www.corestandards.org/Math/Content/5/MD/C/3/a,Measurement & Data,Grade 5,Geometric measurement: understand concepts of volume.,CCSS.Math.Content.5.MD.C.3
CCSS.Math.Content.5.MD.C.3b, A solid figure which can be packed without gaps or overlaps using ,http://www.corestandards.org/Math/Content/5/MD/C/3/b,Measurement & Data,Grade 5,Geometric measurement: understand concepts of volume.,CCSS.Math.Content.5.MD.C.3
CCSS.Math.Content.5.MD.C.4," Measure volumes by counting unit cubes, using cubic cm, cubic in, cubic ft, and improvised units.",http://www.corestandards.org/Math/Content/5/MD/C/4,Measurement & Data,Grade 5,Geometric measurement: understand concepts of volume.,
CCSS.Math.Content.5.MD.C.5, Relate volume to the operations of multiplication and addition and solve real world and mathematical problems involving volume.,http://www.corestandards.org/Math/Content/5/MD/C/5,Measurement & Data,Grade 5,Geometric measurement: understand concepts of volume.,
CCSS.Math.Content.5.MD.C.5a," Find the volume of a right rectangular prism with whole-number side lengths by packing it with unit cubes, and show that the volume is the same as would be found by multiplying the edge lengths, equivalently by multiplying the height by the area of the base. Represent threefold whole-number products as volumes, e.g., to represent the associative property of multiplication.",http://www.corestandards.org/Math/Content/5/MD/C/5/a,Measurement & Data,Grade 5,Geometric measurement: understand concepts of volume.,CCSS.Math.Content.5.MD.C.5
CCSS.Math.Content.5.MD.C.5b, Apply the formulas ,http://www.corestandards.org/Math/Content/5/MD/C/5/b,Measurement & Data,Grade 5,Geometric measurement: understand concepts of volume.,CCSS.Math.Content.5.MD.C.5
CCSS.Math.Content.5.MD.C.5c," Recognize volume as additive. Find volumes of solid figures composed of two non-overlapping right rectangular prisms by adding the volumes of the non-overlapping parts, applying this technique to solve real world problems.",http://www.corestandards.org/Math/Content/5/MD/C/5/c,Measurement & Data,Grade 5,Geometric measurement: understand concepts of volume.,CCSS.Math.Content.5.MD.C.5
CCSS.Math.Content.5.G.A.1," Use a pair of perpendicular number lines, called axes, to define a coordinate system, with the intersection of the lines (the origin) arranged to coincide with the 0 on each line and a given point in the plane located by using an ordered pair of numbers, called its coordinates. Understand that the first number indicates how far to travel from the origin in the direction of one axis, and the second number indicates how far to travel in the direction of the second axis, with the convention that the names of the two axes and the coordinates correspond (e.g., ",http://www.corestandards.org/Math/Content/5/G/A/1,Geometry,Grade 5,Graph points on the coordinate plane to solve real-world and mathematical problems.,
CCSS.Math.Content.5.G.A.2," Represent real world and mathematical problems by graphing points in the first quadrant of the coordinate plane, and interpret coordinate values of points in the context of the situation.",http://www.corestandards.org/Math/Content/5/G/A/2,Geometry,Grade 5,Graph points on the coordinate plane to solve real-world and mathematical problems.,
CCSS.Math.Content.5.G.B.3," Understand that attributes belonging to a category of two-dimensional figures also belong to all subcategories of that category. For example, all rectangles have four right angles and squares are rectangles, so all squares have four right angles.",http://www.corestandards.org/Math/Content/5/G/B/3,Geometry,Grade 5,Classify two-dimensional figures into categories based on their properties.,
CCSS.Math.Content.5.G.B.4, Classify two-dimensional figures in a hierarchy based on properties.,http://www.corestandards.org/Math/Content/5/G/B/4,Geometry,Grade 5,Classify two-dimensional figures into categories based on their properties.,
CCSS.Math.Content.6.RP.A.1, Understand the concept of a ratio and use ratio language to describe a ratio relationship between two quantities. ,http://www.corestandards.org/Math/Content/6/RP/A/1,Ratios & Proportional Relationships,Grade 6,Understand ratio concepts and use ratio reasoning to solve problems.,
CCSS.Math.Content.6.RP.A.2," Understand the concept of a unit rate a/b associated with a ratio a:b with b ≠ 0, and use rate language in the context of a ratio relationship. ",http://www.corestandards.org/Math/Content/6/RP/A/2,Ratios & Proportional Relationships,Grade 6,Understand ratio concepts and use ratio reasoning to solve problems.,
CCSS.Math.Content.6.RP.A.3," Use ratio and rate reasoning to solve real-world and mathematical problems, e.g., by reasoning about tables of equivalent ratios, tape diagrams, double number line diagrams, or equations.",http://www.corestandards.org/Math/Content/6/RP/A/3,Ratios & Proportional Relationships,Grade 6,Understand ratio concepts and use ratio reasoning to solve problems.,
CCSS.Math.Content.6.RP.A.3a," Make tables of equivalent ratios relating quantities with whole-number measurements, find missing values in the tables, and plot the pairs of values on the coordinate plane. Use tables to compare ratios.",http://www.corestandards.org/Math/Content/6/RP/A/3/a,Ratios & Proportional Relationships,Grade 6,Understand ratio concepts and use ratio reasoning to solve problems.,CCSS.Math.Content.6.RP.A.3
CCSS.Math.Content.6.RP.A.3b, Solve unit rate problems including those involving unit pricing and constant speed. ,http://www.corestandards.org/Math/Content/6/RP/A/3/b,Ratios & Proportional Relationships,Grade 6,Understand ratio concepts and use ratio reasoning to solve problems.,CCSS.Math.Content.6.RP.A.3
